Dataset initiated
Compute device: 
cuda:0
----Training begun----
[Epoch, Entry] - Loss
[1,     1] loss: 1.792
[1,     2] loss: 1.792
[1,     3] loss: 1.792
[1,     4] loss: 1.792
[1,     5] loss: 1.792
[1,     6] loss: 1.792
[1,     7] loss: 1.792
[1,     8] loss: 1.792
[1,     9] loss: 1.792
[1,    10] loss: 1.792
[1,    11] loss: 1.792
[1,    12] loss: 1.792
[1,    13] loss: 1.792
[1,    14] loss: 1.792
[1,    15] loss: 1.792
[1,    16] loss: 1.792
[1,    17] loss: 1.792
[1,    18] loss: 1.792
[1,    19] loss: 1.792
[1,    20] loss: 1.792
[1,    21] loss: 1.792
[1,    22] loss: 1.792
[1,    23] loss: 1.792
[1,    24] loss: 1.792
[1,    25] loss: 1.792
[1,    26] loss: 1.792
[1,    27] loss: 1.792
[1,    28] loss: 1.792
[2,     1] loss: 1.792
[2,     2] loss: 1.792
[2,     3] loss: 1.792
[2,     4] loss: 1.792
[2,     5] loss: 1.792
[2,     6] loss: 1.792
[2,     7] loss: 1.792
[2,     8] loss: 1.792
[2,     9] loss: 1.792
[2,    10] loss: 1.792
[2,    11] loss: 1.792
[2,    12] loss: 1.792
[2,    13] loss: 1.792
[2,    14] loss: 1.792
[2,    15] loss: 1.792
[2,    16] loss: 1.792
[2,    17] loss: 1.792
[2,    18] loss: 1.792
[2,    19] loss: 1.792
[2,    20] loss: 1.792
[2,    21] loss: 1.792
[2,    22] loss: 1.792
[2,    23] loss: 1.792
[2,    24] loss: 1.792
[2,    25] loss: 1.792
[2,    26] loss: 1.792
[2,    27] loss: 1.792
[2,    28] loss: 1.792
Finished Training
